"What topics does '🕉️ Philosophy & Doctrine — The Eternal Foundation' cover, and where does it live?",DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/00-Index.md — covers: 📜 Contents
Where in the codex is 'THE HIRING FUNNEL' taught?,"DSA-Grandmaster-Codex/22-COMPANY-PREP-TRACKS/01-FAANG-MAANG-Track.md, DSA-Grandmaster-Codex/22-COMPANY-PREP-TRACKS/02-Global-Big-Tech-Track.md"
Where in the codex is 'Approach 2 — Bottom-up 2D table' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/14-2D-Dynamic-Programming/01-Unique-Paths.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/14-2D-Dynamic-Programming/02-Longest-Common-Subsequence.md"
Where in the codex is 'DEFINING FEATURES' taught?,"PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/07-LANGUAGE-TOUR/01-C.md, PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/07-LANGUAGE-TOUR/02-Cpp.md"
Where in the codex is 'Practice Platforms' taught?,DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/04-Practice-Platforms.md
Where in the codex is 'Channels' taught?,"DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-03-Placement-DSA.md, DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-04-Product-Based-DSA.md"
Where in the codex is 'Operations' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Advanced-DS.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Heaps-And-Range.md"
Where in the codex is 'Use case' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Advanced-DS.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Heaps-And-Range.md"
Where in the codex is 'Variants' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Heaps-And-Range.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Linear-Structures.md"
Where in the codex is 'LEARNING ORDER' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/00-Index.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/00-Index.md"
Where in the codex is 'SPACE OPTIMIZATION' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/01-DP-Foundations.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/02-1D-DP.md"
Where in the codex is 'THE MINDSET' taught?,"DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/04-IOI-Systems.md, DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/08-Rating-Climbing-Systems.md"
Where in the codex is 'SYSTEM DESIGN' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/02-Online-Courses.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/03-YouTube-Channels.md"
Where in the codex is 'COMPETITIVE PROGRAMMING' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/03-YouTube-Channels.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/11-Channels-And-Communities/01-YouTube-Channels-Complete.md"
Where in the codex is 'Written' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/00-Index.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/01-Operating-Systems.md"
Where in the codex is 'WHAT THEY TEST' taught?,"DSA-Grandmaster-Codex/22-COMPANY-PREP-TRACKS/01-FAANG-MAANG-Track.md, DSA-Grandmaster-Codex/22-COMPANY-PREP-TRACKS/02-Global-Big-Tech-Track.md"
Where in the codex is 'Approach 1 — Brute force (all pairs)' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/03-Two-Sum.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/02-Two-Pointers/02-Two-Sum-II-Sorted.md"
Where in the codex is 'Dry run on Example 1' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/11-Graphs/04-Rotting-Oranges.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/11-Graphs/06-Surrounded-Regions.md"
Where in the codex is 'STRENGTHS & WEAKNESSES' taught?,"PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/07-LANGUAGE-TOUR/01-C.md, PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/07-LANGUAGE-TOUR/02-Cpp.md"
Where in the codex is 'Communities' taught?,DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/06-Communities.md
Where in the codex is 'INCLUSION-EXCLUSION' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/07-Mathematics-for-Programmers.md, DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/08-Logic-and-Discrete-Math.md"
Where in the codex is 'Templates' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/00-Index.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/01-Arrays.md"
Where in the codex is 'Performance' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Advanced-DS.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Heaps-And-Range.md"
Where in the codex is 'Top problems' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Linear-Structures.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Trees.md"
Where in the codex is 'Key concepts' taught?,"DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/COMPENDIUM-Advanced-Algorithms.md, DSA-Grandmaster-Codex/08-STRING-UNIVERSE/09-Suffix-Automaton.md"
Where in the codex is 'THE SHAPE' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/02-1D-DP.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/03-2D-DP-Grids.md"
Where in the codex is 'Distinct Subsequences (LC 115)' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/06-LCS-Family.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/07-Edit-Distance-Family.md"
Where in the codex is 'RELATED' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/17-Profile-DP.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/00-Index.md"
Where in the codex is 'DEFINITION' taught?,"DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/09-SCC.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/19-Planar-Graphs.md"
Where in the codex is 'WHAT IS IT' taught?,"DSA-Grandmaster-Codex/08-STRING-UNIVERSE/09-Suffix-Automaton.md, DSA-Grandmaster-Codex/08-STRING-UNIVERSE/10-Suffix-Tree.md"
Where in the codex is 'Mental Model' taught?,"DSA-Grandmaster-Codex/10-GEOMETRY-UNIVERSE/00-Index.md, DSA-Grandmaster-Codex/15-CASE-STUDIES-LEGENDARY/06-The-Story-of-FFT.md"
Where in the codex is 'START HERE' taught?,"DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/00-Index.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/00-Index.md"
Where in the codex is 'THE DISCIPLINE' taught?,"DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/07-Editorial-Reading.md, DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/10-Stress-Testing.md"
Where in the codex is 'THE CORE IDEA' taught?,"DSA-Grandmaster-Codex/14-ALGORITHM-DESIGN-SCIENCE/06-Compression-As-Discovery.md, PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/02-PARADIGMS/01-Imperative-and-Procedural.md"
Where in the codex is 'THE META-LESSON' taught?,"DSA-Grandmaster-Codex/15-CASE-STUDIES-LEGENDARY/05-CF-Greatest-Hits.md, DSA-Grandmaster-Codex/15-CASE-STUDIES-LEGENDARY/12-Errichto-Editorials-Studied.md"
Where in the codex is 'THE WARNING' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/06-Communities.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/09-Code-Libraries-CP.md"
Where in the codex is 'THE TOP 20 INTERVIEW QUESTIONS' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/01-Operating-Systems.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/02-DBMS.md"
Where in the codex is 'Follow-up' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/02-Valid-Anagram.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/01-Arrays-and-Hashing/03-Two-Sum.md"
Where in the codex is 'Approach 1 — Brute force' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/02-Longest-Substring-Without-Repeating.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/05-Minimum-Window-Substring.md"
Where in the codex is 'Key insight' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/03-Longest-Repeating-Char-Replacement.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/03-Sliding-Window/04-Permutation-In-String.md"
Where in the codex is 'Dry run on Example 2' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/11-Graphs/01-Number-of-Islands.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/12-Advanced-Graphs/03-Min-Cost-Connect-Points.md"
Where in the codex is 'Approach 1 — Union-Find (recommended)' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/11-Graphs/09-Number-of-Connected-Components.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/11-Graphs/10-Redundant-Connection.md"
Where in the codex is 'YouTube Channels' taught?,DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/03-YouTube-Channels.md
Where in the codex is 'Courses' taught?,"DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-02-Academic-DSA.md, DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-08-Algorithm-Engineering.md"
Where in the codex is 'Sites' taught?,"DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-06-Competitive-Programming.md, DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-07-Elite-CP.md"
Where in the codex is 'Properties' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/08-Logic-and-Discrete-Math.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Trees.md"
Where in the codex is 'Key property' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/07-Hash-Tables.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Trees.md"
Where in the codex is 'Memory' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/COMPENDIUM-Advanced-DS.md, DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/COMPENDIUM-Advanced-Algorithms.md"
Where in the codex is 'THE PARADIGM' taught?,"DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/03-Divide-And-Conquer.md, DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/05-Backtracking.md"
Where in the codex is 'CLASSIC PROBLEMS' taught?,"DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/07-Two-Pointers-And-Sliding-Window.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/09-Interval-DP.md"
Where in the codex is 'Two flavors' taught?,"DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/COMPENDIUM-Advanced-Algorithms.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/14-Probability-Expected-DP.md"
Where in the codex is 'PROBLEMS TO PRACTICE' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/02-1D-DP.md, DSA-Grandmaster-Codex/15-CASE-STUDIES-LEGENDARY/08-The-Story-of-Dijkstra.md"
Where in the codex is 'THE FAMILY' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/05-LIS-Family.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/06-LCS-Family.md"
Where in the codex is 'THE ALGORITHM' taught?,"DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/16-SOS-DP.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/15-Min-Cost-Flow.md"
Where in the codex is 'DEFINITIONS' taught?,"DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/01-Graph-Foundations.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/08-Bridges-Articulation.md"
Where in the codex is 'COMPLEXITY SUMMARY' taught?,"DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/15-Min-Cost-Flow.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/18-Dynamic-Graphs.md"
Where in the codex is 'CP-level' taught?,"DSA-Grandmaster-Codex/08-STRING-UNIVERSE/14-COMPENDIUM-All-String-Algorithms.md, DSA-Grandmaster-Codex/09-MATHEMATICS-UNIVERSE/11-COMPENDIUM-Math-Toolkit.md"
Where in the codex is 'NTT (Number Theoretic Transform)' taught?,"DSA-Grandmaster-Codex/09-MATHEMATICS-UNIVERSE/05-FFT-NTT.md, DSA-Grandmaster-Codex/09-MATHEMATICS-UNIVERSE/11-COMPENDIUM-Math-Toolkit.md"
Where in the codex is 'WHY ATCODER IS SPECIAL' taught?,"DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/02-AtCoder-Mastery.md, DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/12-COMPENDIUM-CP-Wisdom.md"
Where in the codex is 'WHAT TO EXTRACT' taught?,"DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/07-Editorial-Reading.md, DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/12-COMPENDIUM-CP-Wisdom.md"
Where in the codex is 'COMMON MISTAKES' taught?,"DSA-Grandmaster-Codex/13-INTERVIEW-DSA-UNIVERSE/08-Behavioral-Integration.md, DSA-Grandmaster-Codex/15-CASE-STUDIES-LEGENDARY/12-Errichto-Editorials-Studied.md"
Where in the codex is 'INTERVIEW PREP' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/02-Online-Courses.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/03-YouTube-Channels.md"
Where in the codex is 'IN THIS FOLDER' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/10-Curated-Sheets/00-Index.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/11-Channels-And-Communities/00-Index.md"
Where in the codex is 'THE SYLLABUS (interview-relevant)' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/01-Operating-Systems.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/02-DBMS.md"
Where in the codex is 'Books / Free' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/01-Operating-Systems.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/02-DBMS.md"
Where in the codex is 'PREP PLAN (5 days)' taught?,"DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/01-Operating-Systems.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/12-CS-Core-Subjects/02-DBMS.md"
Where in the codex is 'COMPANY FLAVORS' taught?,"DSA-Grandmaster-Codex/22-COMPANY-PREP-TRACKS/02-Global-Big-Tech-Track.md, DSA-Grandmaster-Codex/22-COMPANY-PREP-TRACKS/03-Unicorns-And-Product-Startups-Track.md"
Where in the codex is 'Approach 1 — Linear scan (baseline)' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/01-Binary-Search.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/05-Binary-Search/04-Find-Minimum-Rotated-Sorted-Array.md"
"Where in the codex is 'Dry run on `[1, 2, 3]`' taught?","DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/01-Reverse-Linked-List.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/10-Backtracking/01-Subsets.md"
Where in the codex is 'Approach 2 — Recursion' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/01-Reverse-Linked-List.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/06-Linked-List/02-Merge-Two-Sorted-Lists.md"
Where in the codex is 'Approach 2 — Bottom-up tabulation' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/13-1D-Dynamic-Programming/02-Min-Cost-Climbing-Stairs.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/13-1D-Dynamic-Programming/03-House-Robber.md"
Where in the codex is 'Approach 3 — Space-optimized rolling variables (optimal)' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/13-1D-Dynamic-Programming/02-Min-Cost-Climbing-Stairs.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/13-1D-Dynamic-Programming/03-House-Robber.md"
Where in the codex is 'Approach 3 — 1D rolling row (space optimized)' taught?,"DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/14-2D-Dynamic-Programming/01-Unique-Paths.md, DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/14-2D-Dynamic-Programming/06-Maximal-Square.md"
Where in the codex is 'Install' taught?,"FULLSTACK-AI-GRANDMASTER-CODEX/03-TYPESCRIPT/01-Why-TypeScript-And-Setup.md, FULLSTACK-AI-GRANDMASTER-CODEX/04-JAVA-MASTERY/01-Getting-Started.md"
Where in the codex is 'Arrays' taught?,"FULLSTACK-AI-GRANDMASTER-CODEX/03-TYPESCRIPT/02-Types-And-Interfaces.md, FULLSTACK-AI-GRANDMASTER-CODEX/04-JAVA-MASTERY/02-Java-Fundamentals.md"
Where in the codex is 'WHAT WE ARE BUILDING' taught?,"FULLSTACK-AI-GRANDMASTER-CODEX/10-MERN-STACK/02-Building-The-Backend-API.md, FULLSTACK-AI-GRANDMASTER-CODEX/10-MERN-STACK/03-Building-The-React-Frontend.md"
"Where in the codex is 'STRENGTHS, WEAKNESSES, WHEN TO USE' taught?","PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/02-PARADIGMS/03-Functional.md, PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/07-LANGUAGE-TOUR/07-JavaScript-and-TypeScript.md"
Where in the codex is 'THE DAILY MINIMUM (Non-Negotiable)' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/01-Daily-Training-System.md"
Where in the codex is 'THE OPTIMAL DAILY ROUTINE (3 Hours)' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/01-Daily-Training-System.md"
Where in the codex is 'ENERGY MANAGEMENT' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/01-Daily-Training-System.md"
Where in the codex is 'Sleep' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/01-Daily-Training-System.md"
Where in the codex is 'Nutrition' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/09-Time-And-Energy-Management.md"
Where in the codex is 'Movement' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/01-Daily-Training-System.md"
Where in the codex is 'Mental' taught?,"DSA-Grandmaster-Codex/00-PHILOSOPHY-AND-DOCTRINE/08-The-Discipline-System.md, DSA-Grandmaster-Codex/17-EXECUTION-SYSTEMS/01-Daily-Training-System.md"
Where in the codex is 'Online Courses' taught?,DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/02-Online-Courses.md
Where in the codex is 'Sheets' taught?,"DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-03-Placement-DSA.md, DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-04-Product-Based-DSA.md"
Where in the codex is 'Mock Interview Platforms' taught?,"DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-03-Placement-DSA.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/14-Online-Judges-And-Platforms.md"
Where in the codex is 'Papers' taught?,"DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-08-Algorithm-Engineering.md, DSA-Grandmaster-Codex/01-LEVELS-PROGRESSION/Level-09-Research-Level.md"
Where in the codex is 'Heap' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/02-Memory-Models.md, DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/08-Invariant-Discovery.md"
Where in the codex is 'THE LEAP OF FAITH' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/04-Recursion-Thinking.md, DSA-Grandmaster-Codex/16-MENTAL-MODELS-AND-FRAMEWORKS/02-Recursive-Thinking.md"
Where in the codex is 'COMMON BUGS' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/04-Recursion-Thinking.md, DSA-Grandmaster-Codex/06-DYNAMIC-PROGRAMMING-UNIVERSE/19-DP-Cheatsheet.md"
Where in the codex is 'RECURSION DP' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/04-Recursion-Thinking.md, DSA-Grandmaster-Codex/16-MENTAL-MODELS-AND-FRAMEWORKS/02-Recursive-Thinking.md"
Where in the codex is 'THE MASTER THEOREM' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/06-Complexity-Thinking.md, DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/03-Divide-And-Conquer.md"
Where in the codex is 'Number Theory' taught?,DSA-Grandmaster-Codex/09-MATHEMATICS-UNIVERSE/01-Number-Theory.md
Where in the codex is 'Combinatorics' taught?,DSA-Grandmaster-Codex/09-MATHEMATICS-UNIVERSE/02-Combinatorics.md
Where in the codex is 'GRAPHS' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/08-Logic-and-Discrete-Math.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/03-YouTube-Channels.md"
Where in the codex is 'Types' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/08-Logic-and-Discrete-Math.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/01-Graph-Foundations.md"
Where in the codex is 'Degree' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/08-Logic-and-Discrete-Math.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/01-Graph-Foundations.md"
Where in the codex is 'Permutations' taught?,DSA-Grandmaster-Codex/23-SOLVED-PROBLEMS-VAULT/10-Backtracking/04-Permutations.md
Where in the codex is 'ABSTRACTION' taught?,"DSA-Grandmaster-Codex/02-PROGRAMMING-FOUNDATIONS/09-Abstraction-and-Decomposition.md, PROGRAMMING-LANGUAGES-GRANDMASTER-CODEX/02-PARADIGMS/02-Object-Oriented.md"
Where in the codex is 'Graph' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/04-Pattern-Recognition.md, DSA-Grandmaster-Codex/05-ALGORITHMS-UNIVERSE/04-Greedy-Algorithms.md"
Where in the codex is 'Tree' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/04-Pattern-Recognition.md, DSA-Grandmaster-Codex/07-GRAPH-THEORY-UNIVERSE/COMPENDIUM-All-Graph-Algorithms.md"
Where in the codex is 'Math' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/04-Pattern-Recognition.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/16-MASTER-LINK-DIRECTORY.md"
Where in the codex is 'THE OPTIMIZATION HIERARCHY' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/06-Optimization-Thinking.md, DSA-Grandmaster-Codex/16-MENTAL-MODELS-AND-FRAMEWORKS/07-Optimization-Thinking.md"
Where in the codex is 'Algorithm-specific' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/10-Edge-Case-Analysis.md, DSA-Grandmaster-Codex/20-RESOURCES-AND-REFERENCES/00-The-Complete-Library.md"
Where in the codex is 'Strings' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/10-Edge-Case-Analysis.md, FULLSTACK-AI-GRANDMASTER-CODEX/04-JAVA-MASTERY/02-Java-Fundamentals.md"
Where in the codex is 'RECURSION DEPTH' taught?,"DSA-Grandmaster-Codex/03-PROBLEM-SOLVING-FOUNDATIONS/10-Edge-Case-Analysis.md, DSA-Grandmaster-Codex/12-COMPETITIVE-PROGRAMMING-UNIVERSE/09-Anti-Hack-Thinking.md"
Where in the codex is 'STRUCTURE' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/26-Segment-Tree.md, DSA-Grandmaster-Codex/14-ALGORITHM-DESIGN-SCIENCE/08-Writing-Original-Algorithms.md"
Where in the codex is 'EXTENSIONS' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/26-Segment-Tree.md, DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/32-Disjoint-Set-Union.md"
Where in the codex is 'ALTERNATIVES' taught?,"DSA-Grandmaster-Codex/04-DATA-STRUCTURES-UNIVERSE/26-Segment-Tree.md, DSA-Grandmaster-Codex/08-STRING-UNIVERSE/07-Manacher.md"
